"filename", "language", "JSON", "JavaScript", "CSS", "XML", "Markdown", "HTML", "YAML", "comment", "blank", "total"
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\.github\workflows\firebase-hosting-merge.yml", "YAML", 0, 0, 0, 0, 0, 0, 17, 2, 2, 21
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 0, 0, 0, 0, 0, 0, 14, 2, 2, 18
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\firebase.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 10, 0, 17
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\package-lock.json", "JSON", 30356, 0, 0, 0, 0, 0, 0, 0, 1, 30357
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\package.json", "JSON", 56, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\public\index.html", "HTML", 0, 0, 0, 0, 0, 24, 0, 23, 1, 48
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\App.css", "CSS", 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\App.js", "JavaScript", 0, 141, 0, 0, 0, 0, 0, 3, 39, 183
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\atoms\activeAtom.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Coduct\XI-LAB\Toolbox\xi-toolbox\src\atoms\methodAtom.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
